Date,현대차 (Price),현대차 (Volume)
2025-05-02,184729.609375,464020
2025-05-07,182973.984375,666181
2025-05-08,182486.3125,543972
2025-05-09,185217.265625,514047
2025-05-12,190971.78125,569602
2025-05-13,191849.59375,462830
2025-05-14,192239.734375,557318
2025-05-15,188143.296875,469355
2025-05-16,189021.109375,311743
2025-05-19,186290.140625,378893
2025-05-20,184827.140625,422756
2025-05-21,183364.125,558502
2025-05-22,177902.21875,982354
2025-05-23,175463.859375,829741
2025-05-26,177414.53125,623947
2025-05-27,177414.53125,502985
2025-05-28,181315.90625,611926
2025-05-29,188829.546875,1093538
2025-05-30,183194.3125,781444
2025-06-02,181909.09375,538182
2025-06-04,183886.359375,577325
2025-06-05,187445.453125,797915
2025-06-09,195552.28125,1665140
2025-06-10,194761.359375,998951
2025-06-11,198715.90625,649618
2025-06-12,199210.234375,885521
2025-06-13,196738.640625,933606
2025-06-16,199210.234375,500547
2025-06-17,202670.453125,950447
2025-06-18,203659.09375,575644
2025-06-19,204647.734375,538891
2025-06-20,207613.640625,662635
2025-06-23,199210.234375,935001
2025-06-24,203659.09375,718116
2025-06-25,214534.09375,1789517
2025-06-26,207119.328125,814616
2025-06-27,202670.453125,764378
2025-06-30,201187.5,492507
2025-07-01,207613.640625,1059697
2025-07-02,211073.859375,1058819
2025-07-03,212062.5,562758
2025-07-04,208107.953125,415693
2025-07-07,206130.6875,398058
2025-07-08,208602.28125,499225
2025-07-09,207119.328125,524731
2025-07-10,205636.359375,719453
2025-07-11,205636.359375,592335
2025-07-14,214534.09375,1241993
2025-07-15,208602.28125,1111748
2025-07-16,205142.046875,492782
2025-07-17,207613.640625,611349
2025-07-18,208107.953125,317353
2025-07-21,206625.0,460835
2025-07-22,204153.40625,441603
2025-07-23,219477.28125,2832242
2025-07-24,215028.40625,1417925
2025-07-25,214039.78125,665815
2025-07-28,216017.046875,692799
2025-07-29,215522.734375,646415
2025-07-30,220465.90625,1239327
2025-07-31,210579.546875,2956498
2025-08-01,207613.640625,1083280
2025-08-04,208602.28125,651682
2025-08-05,208107.953125,480510
2025-08-06,208107.953125,385330
2025-08-07,210085.234375,421547
2025-08-08,210085.234375,440664
2025-08-11,210085.234375,298656
2025-08-12,210579.546875,347183
2025-08-13,213545.453125,377571
2025-08-14,215028.40625,546695
2025-08-18,214039.78125,405813
2025-08-19,216511.359375,442222
2025-08-20,217994.328125,784564
2025-08-21,218982.953125,601284
2025-08-22,217500.0,401067
2025-08-25,219477.28125,419600
2025-08-26,216017.046875,806670
2025-08-27,217500.0,337163
2025-08-28,222000.0,734689
2025-08-29,220000.0,606655
2025-09-01,220500.0,504672
2025-09-02,220000.0,365383
2025-09-03,221500.0,459718
2025-09-04,221500.0,249504
2025-09-05,220000.0,245652
2025-09-08,218500.0,382254
2025-09-09,219000.0,407652
2025-09-10,220500.0,427432
2025-09-11,223000.0,569436
2025-09-12,223500.0,666184
2025-09-15,215000.0,1712249
2025-09-16,215000.0,492855
2025-09-17,216000.0,412548
2025-09-18,216500.0,652885
2025-09-22,218000.0,499195
2025-09-23,219000.0,473760
2025-09-24,217500.0,383310
2025-09-25,217000.0,509882
2025-09-26,214500.0,448652
2025-09-29,215000.0,339105
2025-09-30,215000.0,339691
2025-10-01,215500.0,297048
2025-10-02,220000.0,1099674
2025-10-10,217000.0,779161
2025-10-13,218500.0,544349
2025-10-14,223000.0,885802
2025-10-15,223500.0,670710
2025-10-16,242000.0,2115204
2025-10-17,243000.0,994190
2025-10-20,248000.0,1155423
2025-10-21,256500.0,2002410
2025-10-22,261000.0,1060973
2025-10-23,252000.0,909720
2025-10-24,252500.0,775983
2025-10-27,254500.0,763121
2025-10-28,250500.0,677447
2025-10-29,258000.0,937830
2025-10-30,265000.0,2958411
2025-10-31,290000.0,3631736
2025-11-03,291500.0,1498016
2025-11-04,276000.0,1416294
2025-11-05,268500.0,1420277
2025-11-06,269000.0,686561
2025-11-07,264000.0,666772
2025-11-10,270500.0,692464
2025-11-11,269000.0,494203
2025-11-12,275500.0,807526
2025-11-13,278500.0,681153
2025-11-14,272500.0,579023
2025-11-17,271500.0,384305
2025-11-18,264500.0,475705
2025-11-19,264000.0,413452
2025-11-20,262000.0,501196
2025-11-21,259500.0,538414
2025-11-24,257500.0,610389
2025-11-25,257500.0,390393
